,sentence,sentence_annotation,intent,action,scenario,labels
315,if it's ten pm in california what time is it in alabama,if it's [time : ten pm] in [place_name : california] what time is it in [place_name : alabama],datetime_convert,convert,datetime,12
316,tweet for me the complaint about drainage choke up,[media_type : tweet] for me the complaint about drainage choke up,social_post,post,social,62
317,play my most listened songs,play my most listened songs,play_music,music,play,46
318,i need to get to location call a cab,i need to get to location call a [transport_type : cab],transport_taxi,taxi,transport,67
319,get me a taxi to take me to the airport on friday at five thirty am,get me a [transport_type : taxi] to take me to the [place_name : airport] on [date : friday] at [time : five thirty am],transport_taxi,taxi,transport,67
320,will you please show me my lists,will you please show me my lists,lists_query,query,lists,36
321,social info,social info,social_query,query,social,63
322,what are the train times from san francisco to new york,what are the [transport_type : train] times from [place_name : san francisco] to [place_name : new york],transport_query,query,transport,66
323,listen to this song,listen to this song,music_query,query,music,41
324,please give me an update on the election every thirty minutes,please give me an update on the [event_name : election] every [time : thirty minutes],calendar_set,set,calendar,8
325,whats happening in ny,whats happening in [place_name : ny],recommendation_events,events,recommendation,58
326,what am i doing today,what am i doing [date : today],quirky,quirky,general,57
327,make a cup of coffee for me,make a cup of coffee for me,iot_coffee,coffee,iot,26
328,am i busy this weekend,am i busy [date : this weekend],calendar_query,query,calendar,6
329,turn off the six am alarm for wednesday,turn off the [time : six am] alarm for [date : Wednesday],alarm_remove,remove,alarm,1
330,change the color of the lights,change the color of the lights,iot_hue_lightchange,hue_lightchange,iot,27
331,tell me a play list,tell me a play list,music_query,query,music,41
332,alexa what is the news in my area,alexa what is the news in my area,news_query,query,news,43
333,remind the required events to be reset,remind the required events to be reset,calendar_set,set,calendar,8
334,how many of my sports podcasts have new episodes i have not listened to yet,how many of my sports podcasts have new episodes i have not listened to yet,play_radio,radio,play,48
335,please show me the exchange rate between the dollar and the yen,please show me the exchange rate between the [currency_name : dollar] and the [currency_name : yen],qa_currency,currency,qa,51
336,no more comments,no more comments,cooking_recipe,recipe,cooking,11
337,hey share me some joke to make me happy,hey share me some joke to make me happy,general_joke,joke,general,20
338,plays the podcast from the beginning,plays the podcast from the beginning,play_podcasts,podcasts,play,47
339,turn up the lights in here please,turn up the lights in here please,iot_hue_lightup,hue_lightup,iot,31
340,find an uber driver available for tonight after ten pm,find an [transport_agency : uber] driver available for [timeofday : tonight] after [time : ten pm],transport_taxi,taxi,transport,67
341,check all emails from eric,check all emails from [person : eric],email_query,query,email,15
342,tell me important news today,tell me important news [date : today],news_query,query,news,43
343,put pencil on a new grocery list,put pencil on a new [list_name : grocery] list,lists_createoradd,createoradd,lists,35
344,logan,[movie_name : logan],recommendation_movies,movies,recommendation,60
345,will you help me write an email to chelsea,will you help me write an email to [person : chelsea],email_sendemail,sendemail,email,17
346,please respond to the email i just read,please respond to the email I just read,email_sendemail,sendemail,email,17
347,play enrique,play [artist_name : enrique],play_music,music,play,46
348,please give me information next movie of aamir khan,please give me information next movie of [person : aamir khan],qa_factoid,factoid,qa,53
349,what's the exchange rate between the us dollar and the euro,what's the exchange rate between the [currency_name : us dollar] and the [currency_name : euro],qa_currency,currency,qa,51
350,is it hot outside,is it [weather_descriptor : hot] outside,weather_query,query,weather,70
351,can you give me the exchange rate for dollar in rupees,can you give me the exchange rate for dollar in rupees,qa_factoid,factoid,qa,53
352,what are the latest articles from yahoo news,what are the latest articles from [media_type : yahoo news],news_query,query,news,43
353,attend party before the meeting,attend [event_name : party] before the meeting,calendar_set,set,calendar,8
354,increase lights please,increase lights please,iot_hue_lightup,hue_lightup,iot,31
355,play from my play list,play from my play list,play_music,music,play,46
356,do i have any upcoming events in my calendar,do i have any upcoming events in my calendar,calendar_query,query,calendar,6
357,what events are in my calendar for today,what events are in my calendar for [date : today],calendar_query,query,calendar,6
358,request a taxi from udrive service,request a [transport_type : taxi] from [business_name : udrive service],transport_taxi,taxi,transport,67
359,will it be too cold for a dress on sunday,will it be too [weather_descriptor : cold] for a dress on [date : sunday],weather_query,query,weather,70
360,what's the exchange rate for samsung,what's the exchange rate for [business_name : samsung],qa_currency,currency,qa,51
361,how soon can we expect rain,how soon can we expect [weather_descriptor : rain],weather_query,query,weather,70
362,send email to gbaby tell her gma loves her and hopes she has a great weekend,send email to [person : gbaby] tell her gma loves her and hopes she has a great weekend,email_sendemail,sendemail,email,17
363,delete day after event,delete day after event,calendar_remove,remove,calendar,7
364,remind me to meet joe for lunch tomorrow,remind me to meet [person : joe] for [meal_type : lunch] [date : tomorrow],calendar_set,set,calendar,8
365,play the current playlist,play the current playlist,play_music,music,play,46
366,check for new emails,check for new emails,query,query,email,56
367,what is the condition of traffic from work to home,what is the condition of traffic from work to [place_name : home],transport_traffic,traffic,transport,69
368,audio book play jai ho,[media_type : audio book] play [song_name : jai ho],play_audiobook,audiobook,play,44
369,when is that meeting with my boss next week,when is that [event_name : meeting] with my [relation : boss] [date : next week],calendar_query,query,calendar,6
370,notify me if i receive any mail on my email account,notify me if i receive any mail on my email account,email_query,query,email,15
371,who is the governor of new york,who is the governor of [place_name : new york],qa_factoid,factoid,qa,53
372,i'm starving whats good to eat in cincinnati,i'm starving whats [business_type : good to eat] in [place_name : cincinnati],recommendation_locations,locations,recommendation,59
373,is calendar event false,is calendar event false,calendar_query,query,calendar,6
374,olly i want to go to the outdoor movie screening this weekend remind me,olly i want to go to the [event_name : outdoor movie] screening this [time : weekend] remind me,calendar_set,set,calendar,8
